LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?,LATITUDE,LONGITUDE,INDEX
Morro Sao Joao - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/07,00:25:00,Não Sabe,0,0,Não Sabe,0,0,Sim,-22.9077777863,-43.2616653442,149
Muito tito em frente a churrascaria Toca do Boi,2016/07/07,00:35:00,Não,0,0,Não,0,0,Não,43.5658226013,-116.2223129272,151
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,00:43:00,Sim,0,0,Não Sabe,0,0,Sim,-22.8969192505,-43.3516807556,152
Rua Japoara - Ricardo de Albuquerque| Rio de Janeiro - RJ| Brasil,2016/07/06,23:30:00,Não Sabe,1,0,Não Sabe,0,0,Sim,-22.8405761719,-43.4050102234,153
Rua H Isaac Zaidman - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,00:20:00,Não,0,0,Sim,0,0,Sim,-22.8193492889,-43.3650283813,158
Largo da Carioca - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:10:00,Não Sabe,1,0,Não Sabe,0,0,Não Sabe,-22.9064922333,-43.1776351929,159
Estrada de Madureira - Jardim Paraoso| Nova Iguaçu - RJ| Brasil,2016/07/07,02:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8169288635,-43.5946388245,160
Via Light - Centro| Nova Iguaçu - RJ| Brasil,2016/07/07,02:53:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.7556781769,-43.4610023499,161
Rua Magalhães Castro - Riachuelo| Rio de Janeiro - RJ| Brasil,2016/07/05,23:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8979244232,-43.2567100525,162
Rua Magalhães Castro - Riachuelo| Rio de Janeiro - RJ| Brasil,2016/07/05,23:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8979244232,-43.2567100525,163
Duque de Caxias - RJ| Brasil,2016/07/06,22:00:00,Sim,1,0,Sim,1,0,Não,-22.7862987518,-43.3053092957,164
Rua Iguaba Grande - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,09:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8167095184,-43.3751106262,165
Maré| Rio de Janeiro - RJ| Brasil,2016/07/07,09:54:00,Não,0,0,Sim,0,0,Sim,-22.8574962616,-43.2430152893,166
Rua do Cajá - Penha| Rio de Janeiro - RJ| Brasil,2016/07/07,10:31:00,Não,0,0,Não,0,0,Sim,-22.8442554474,-43.2876205444,168
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,10:36:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8969192505,-43.3516807556,169
Estr. Granja - Palhada| Nova Iguaçu - RJ| Brasil,2016/07/04,15:18:00,Não,3,5,Não Sabe,0,0,Sim,-22.7555866241,-43.5319862366,170
Rua Joaquim de Queiroz - Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/07,10:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8594436646,-43.2763748169,171
Rua Guaiúba - Acari| Rio de Janeiro - RJ| Brasil,2016/07/07,10:38:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8232803345,-43.3455009460,172
Estrada do Camboatá - Guadalupe| Rio de Janeiro - RJ| Brasil,2016/07/07,10:43:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.8340682983,-43.3795166016,173
Duque de Caxias - RJ| Brasil,2016/07/07,11:12:00,Não Sabe,0,0,Sim,0,0,Não Sabe,-22.7862987518,-43.3053092957,175
Av. Antares - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/07,11:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe,-22.9217586517,-43.6634178162,177
